
name,address,nature,nightlife,drink,music,dance,history,sports,art,museum,walk,restaurant,movie,Latitude,Longitude
BAC (Battersea Arts Centre),Lavender Hill,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.664158672837466,-0.0972436015257118
Bacchus Late Bar and Venue,"2 Union Street, Kingston upon Thames, United Kingdom",0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.411,-0.305
Balham Bowls Club,7-9 Ramsden Rd.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,51.4449518,-0.1523815
Bank of Friendship,224 Blackstock Road,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.55832125,-0.0987653998292392
Bankside Health Club,"Unit 11a Blue Fin Building, 110 Southwark Street, London, United Kingdom",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.506,-0.099
Bar 3 Zero,"30 Corbets Tey Road, Town Centre, Upminster, United Kingdom",0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,51.57,0.25
Barbican Centre,Silk St,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,51.519951098209575,-0.0919491619313503
Barcode,69 Goding St.,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.4877352,-0.1220785
Barfly,49 Chalk Farm Rd,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.5431079,-0.1492354746454033
Barham Park,"Harrow Road, Sudbury, United Kingdom",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,51.55,-0.3
Barking Park,Longbridge Rd.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,51.5455414004504,0.0929642692620583
Barn Elms Playing Fields,"London, United Kingdom",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,51.46,-0.25
Barnet Museum,"Barnet, United Kingdom",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,51.65,-0.22
Barra Hall Park,"Freemans Lane, London, United Kingdom",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,51.52,-0.43
Barracuda Bar,"8 The Mall, London, United Kingdom",0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.514156,-0.300527
Basing Hill Park,"London, United Kingdom",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,51.578,-0.2
Battersea Mess and Music Hall,49 Lavender Gardens,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.46395115,-0.162632747897971
Battersea Park,Albert Bridge Rd.,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,51.47391462425386,-0.163085107947214
Battersea Park Children's Zoo,"Battersea Park, Chelsea Embankment, London, United Kingdom",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,51.48,-0.18
Battersea Power Station,188 Kirtling St,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,51.4810677,-0.1406000549547382
Battle of Britain Bunker,"Uxbridge, United Kingdom",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,51.5482,-0.4761
